         100081 function calls (100080 primitive calls) in 0.111 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100000    0.096    0.000    0.096    0.000 c:\autonomo4\codigo_optimizado.py:3(es_primo_opt)
        2    0.000    0.000    0.090    0.045 C:\Users\jjxx0\miniconda3\Lib\threading.py:323(wait)
        7    0.015    0.002    0.087    0.012 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\jjxx0\miniconda3\Lib\threading.py:637(wait)
        1    0.000    0.000    0.003    0.003 c:\autonomo4\codigo_optimizado.py:14(encontrar_primos_list)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:108(new_threading_enumerate)
        2    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:311(_acquire_restore)
        2    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        4    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:302(__exit__)
        3    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\queue.py:209(_qsize)
        4    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:299(__enter__)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1587(get_internal_queue_and_event)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1712(notify_thread_created)
        1    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:627(clear)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:1485(current_thread)
        2    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:314(_is_owned)
        2    0.000    0.000    0.000    0.000 C:\Users\jjxx0\miniconda3\Lib\threading.py:308(_release_save)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        6    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_daemon_thread.py:36(py_db)
        3    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1622(check_output_redirect)
        2    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:668(get_thread_id)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:648(get_current_thread_id)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydev_bundle\pydev_is_thread_alive.py:20(is_thread_alive)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:702(__enter__)
        1    0.000    0.000    0.000    0.000 c:\Users\jjxx0\.vscode\extensions\ms-python.debugpy-2025.16.0-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_constants.py:705(__exit__)
      1/0    0.000    0.000    0.000          C:\Users\jjxx0\miniconda3\Lib\queue.py:154(get)


